"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    arrange: build and deploy the Synapse charm.
    act: configure  invite_checker_policy_rooms with valid room ids.
    assert: the Synapse application should be active after setting and
        reverting the config.
    ","80479","test_synapse_configure_roomids","tests.integration","Fri Apr 18 06:25:48 UTC 2025","passed","Fri Apr 18 06:27:08 UTC 2025","","test_charm","",""
"
    arrange: build and deploy the Synapse charm, create an user, get the access token and assert
        that the user is not an admin.
    act:  run action to anonymize user.
    assert: the Synapse application is active and the API request returns as expected.
    ","2050","test_anonymize_user","tests.integration","Fri Apr 18 06:31:31 UTC 2025","passed","Fri Apr 18 06:31:33 UTC 2025","","test_charm","",""
"
    arrange: scale Synapse to two units and check if all units are working.
    act:  Scale the application down to 1 unit.
    assert: the Synapse application (remaining unit) should return a correct response.
    ","102540","test_synapse_scaling_down","tests.integration","Fri Apr 18 06:28:21 UTC 2025","passed","Fri Apr 18 06:30:03 UTC 2025","","test_scaling","",""
"
    arrange: integrate Synapse with Redis and scale 1 unit.
    act:  get all unit IPs and do a http request via port 9000.
    assert: collect metrics should work for all units.
    ","118429","test_synapse_prometheus_configured","tests.integration","Fri Apr 18 06:30:03 UTC 2025","passed","Fri Apr 18 06:32:02 UTC 2025","","test_scaling","",""
"
    arrange: build and deploy the Synapse charm.
    act: configure ip_range_whitelist with invalid IP and revert it.
    assert: the Synapse application should be blocked and then active.
    ","71591","test_synapse_validate_configuration","tests.integration","Fri Apr 18 06:24:36 UTC 2025","passed","Fri Apr 18 06:25:48 UTC 2025","","test_charm","",""
"
    arrange: Synapse App deployed and s3-integrator deployed.
    act:  integrate s3-integrator with Synapse.
    assert: Synapse gets into blocked status because the bucket does not exist.
    ","23351","test_synapse_enable_s3_backup_integration_no_bucket","tests.integration","Fri Apr 18 06:29:59 UTC 2025","passed","Fri Apr 18 06:30:22 UTC 2025","","test_s3","",""
"
    arrange: Synapse App deployed and s3-integrator deployed with bucket created.
    act:  integrate s3-integrator with Synapse.
    assert: Synapse gets into active status.
    ","48482","test_synapse_enable_s3_backup_integration_success","tests.integration","Fri Apr 18 06:28:24 UTC 2025","passed","Fri Apr 18 06:29:12 UTC 2025","","test_s3","",""
"
    arrange: Synapse App deployed and related with s3-integrator together with media.
        enable_media_sync_cleanup and backup_passphrase set.
    act: Run create-backup action
    assert: Correct response from the action that includes the backup-id.
       An encrypted object was created in S3 with the correct name.
    ","93796","test_synapse_create_backup_correct_media_sync_cleanup","tests.integration","Fri Apr 18 06:41:53 UTC 2025","passed","Fri Apr 18 06:43:26 UTC 2025","","test_s3","",""
"
    arrange: deploy the charm, create user and moderation room and create the
        moderation secret.
    act: set moderation_access_token_secret_id
    assert: the Draupnir health endpoint should return OK.
    ","46227","test_moderation","tests.integration","Fri Apr 18 06:33:34 UTC 2025","passed","Fri Apr 18 06:34:21 UTC 2025","","test_charm","",""
"
    arrange: build and deploy the Synapse charm, and deploy the nginx-integrator.
    act: relate the nginx-integrator charm with the Synapse charm.
    assert: requesting the charm through nginx-integrator should return a correct response.
    ","79367","test_nginx_route_integration","tests.integration","Fri Apr 18 06:32:15 UTC 2025","passed","Fri Apr 18 06:33:34 UTC 2025","","test_charm","",""
"
    arrange: Synapse App deployed and related with s3-integrator. No backup_passphrase.
    act: Run create-backup action
    assert: The action fails because there is no passphrase.
    ","44481","test_synapse_create_backup_no_passphrase","tests.integration","Fri Apr 18 06:32:42 UTC 2025","passed","Fri Apr 18 06:33:26 UTC 2025","","test_s3","",""
"
    arrange: Synapse App deployed and related with s3-integrator. Set backup_passphrase
        and create a backup.
    act: Run action delete-backup with the created backup.
    assert: In list-backups, there should be no backup.
    ","50513","test_synapse_backup_delete","tests.integration","Fri Apr 18 06:38:00 UTC 2025","passed","Fri Apr 18 06:38:50 UTC 2025","","test_s3","",""
"
    arrange: build and deploy the Synapse charm. Create an user and get the access token
        Deploy, configure and integrate with Synapse the smtp-integrator charm.
    act:  try to check if a given email address is not already associated.
    assert: the Synapse application is active and the error returned is the one expected.
    ","88249","test_synapse_enable_smtp[smtp]","tests.integration","Fri Apr 18 06:30:02 UTC 2025","passed","Fri Apr 18 06:31:31 UTC 2025","","test_charm","",""
"
    arrange: integrate Synapse with Redis and scale 1 unit.
    act:  get the second unit IP address and request via ports 8080 and 8008.
    assert: 8080 should work because goes to the main unit and 8008 should fail.
    ","136153","test_synapse_scaling_nginx_configured","tests.integration","Fri Apr 18 06:26:05 UTC 2025","passed","Fri Apr 18 06:28:21 UTC 2025","","test_scaling","",""
"
    arrange: build and deploy the Synapse charm. Create an user and get the access token
        Deploy, configure and integrate with Synapse the smtp-integrator charm.
    act:  try to check if a given email address is not already associated.
    assert: the Synapse application is active and the error returned is the one expected.
    ","81826","test_synapse_enable_smtp[smtp-legacy]","tests.integration","Fri Apr 18 06:28:41 UTC 2025","passed","Fri Apr 18 06:30:02 UTC 2025","","test_charm","",""
"
    arrange: deploy the Synapse charm, create offer, deploy any-charm as consumer
        in a different model and consume offer.
    act: integrate them via matrix-auth offer.
    assert: Synapse set the registration file received via matrix-auth.
    ","98816","test_synapse_cmr_matrix_auth","tests.integration","Fri Apr 18 06:25:41 UTC 2025","passed","Fri Apr 18 06:27:20 UTC 2025","","test_matrix_auth","",""
